dataset,m,rep,classifier,accuracy
motivating,5,4,1nn,0.8333333333333334
motivating,5,4,linear_svm,0.8333333333333334
motivating,5,4,rbf_svm,0.8666666666666667
motivating,5,5,rf,0.9
motivating,5,5,1nn,0.8666666666666667
motivating,5,5,linear_svm,0.9666666666666667
motivating,5,5,rbf_svm,0.9333333333333333
motivating,5,6,rf,0.7333333333333333
motivating,5,6,1nn,0.7666666666666667
motivating,5,6,linear_svm,0.8
motivating,5,6,rbf_svm,0.7666666666666667
motivating,5,7,rf,0.7666666666666667
motivating,5,7,1nn,0.6666666666666666
motivating,5,7,linear_svm,0.7666666666666667
motivating,5,7,rbf_svm,0.7333333333333333
motivating,5,8,rf,0.9
motivating,5,8,1nn,0.8333333333333334
motivating,5,8,linear_svm,0.9
motivating,5,8,rbf_svm,0.8666666666666667
motivating,5,9,rf,0.7333333333333333
motivating,5,9,1nn,0.6666666666666666
motivating,5,9,linear_svm,0.6666666666666666
motivating,5,9,rbf_svm,0.7666666666666667
motivating,5,10,rf,0.8
motivating,5,10,1nn,0.6666666666666666
motivating,5,10,linear_svm,0.7666666666666667
motivating,5,10,rbf_svm,0.7
motivating,5,11,rf,0.7333333333333333
motivating,5,11,1nn,0.7666666666666667
motivating,5,11,linear_svm,0.8666666666666667
motivating,5,11,rbf_svm,0.8666666666666667
motivating,5,12,rf,0.7333333333333333
motivating,5,12,1nn,0.7666666666666667
motivating,5,12,linear_svm,0.8333333333333334
motivating,5,12,rbf_svm,0.7666666666666667
motivating,5,13,rf,0.6666666666666666
motivating,5,13,1nn,0.8
motivating,5,13,linear_svm,0.7666666666666667
motivating,5,13,rbf_svm,0.6333333333333333
motivating,5,14,rf,0.8666666666666667
motivating,5,14,1nn,0.9333333333333333
motivating,5,14,linear_svm,0.8333333333333334
motivating,5,14,rbf_svm,0.8333333333333334
motivating,5,15,rf,0.6333333333333333
motivating,5,15,1nn,0.6
motivating,5,15,linear_svm,0.6666666666666666
motivating,5,15,rbf_svm,0.7
motivating,5,16,rf,0.7333333333333333
motivating,5,16,1nn,0.6666666666666666
motivating,5,16,linear_svm,0.8666666666666667
motivating,5,16,rbf_svm,0.8
motivating,5,17,rf,0.8333333333333334
motivating,5,17,1nn,0.7
motivating,5,17,linear_svm,0.9
motivating,5,17,rbf_svm,0.9
motivating,5,18,rf,0.5
motivating,5,18,1nn,0.6333333333333333
motivating,5,18,linear_svm,0.7666666666666667
motivating,5,18,rbf_svm,0.7666666666666667
motivating,5,19,rf,0.7666666666666667
motivating,5,19,1nn,0.7666666666666667
motivating,5,19,linear_svm,0.7666666666666667
motivating,5,19,rbf_svm,0.7666666666666667
motivating,5,20,rf,0.8333333333333334
motivating,5,20,1nn,0.7333333333333333
motivating,5,20,linear_svm,0.8666666666666667
motivating,5,20,rbf_svm,0.8
motivating,5,21,rf,0.7666666666666667
motivating,5,21,1nn,0.7
motivating,5,21,linear_svm,0.8333333333333334
motivating,5,21,rbf_svm,0.7666666666666667
motivating,5,22,rf,0.7666666666666667
motivating,5,22,1nn,0.8
motivating,5,22,linear_svm,0.7333333333333333
motivating,5,22,rbf_svm,0.7333333333333333
motivating,5,23,rf,0.9
motivating,5,23,1nn,0.8
motivating,5,23,linear_svm,0.9
motivating,5,23,rbf_svm,0.9333333333333333
motivating,5,24,rf,0.9
motivating,5,24,1nn,0.9666666666666667
motivating,5,24,linear_svm,0.8666666666666667
motivating,5,24,rbf_svm,0.9
motivating,5,25,rf,0.8
motivating,5,25,1nn,0.7333333333333333
motivating,5,25,linear_svm,0.8333333333333334
motivating,5,25,rbf_svm,0.8666666666666667
motivating,5,26,rf,0.8666666666666667
motivating,5,26,1nn,0.7666666666666667
motivating,5,26,linear_svm,0.8666666666666667
motivating,5,26,rbf_svm,0.9333333333333333
motivating,5,27,rf,0.8333333333333334
motivating,5,27,1nn,0.8
motivating,5,27,linear_svm,0.9
motivating,5,27,rbf_svm,0.8666666666666667
motivating,5,28,rf,0.7333333333333333
motivating,5,28,1nn,0.8666666666666667
motivating,5,28,linear_svm,0.9
motivating,5,28,rbf_svm,0.9
motivating,5,29,rf,0.6333333333333333
motivating,5,29,1nn,0.5333333333333333
motivating,5,29,linear_svm,0.8333333333333334
motivating,5,29,rbf_svm,0.7666666666666667
motivating,5,30,rf,0.8333333333333334
motivating,5,30,1nn,0.8
motivating,5,30,linear_svm,0.8666666666666667
motivating,5,30,rbf_svm,0.9
motivating,5,31,rf,0.8333333333333334
motivating,5,31,1nn,0.7
motivating,5,31,linear_svm,0.7
motivating,5,31,rbf_svm,0.7666666666666667
motivating,5,32,rf,0.6666666666666666
motivating,5,32,1nn,0.7
motivating,5,32,linear_svm,0.8
motivating,5,32,rbf_svm,0.7333333333333333
motivating,5,33,rf,0.8666666666666667
motivating,5,33,1nn,0.6666666666666666
motivating,5,33,linear_svm,0.9
motivating,5,33,rbf_svm,0.8666666666666667
motivating,5,34,rf,0.7666666666666667
motivating,5,34,1nn,0.8666666666666667
motivating,5,34,linear_svm,0.8666666666666667
motivating,5,34,rbf_svm,0.8666666666666667
motivating,5,35,rf,0.7666666666666667
motivating,5,35,1nn,0.6666666666666666
motivating,5,35,linear_svm,0.7666666666666667
motivating,5,35,rbf_svm,0.7666666666666667
